Product Name,SKU,Image URL,Item Description,Color,Size,Material,URL
"Peugeot Molène Pepper Mill, 14cmPeugeot Molène Pepper Mill, 14cm",100496,https://peugeotmillsaustralia.com.au/cdn/shop/files/100496_a-peugeot.png?v=1751432657&width=416,"The Molène pepper mill plays with transparency and movement to enhance your kitchen and your table with an undeniably light touch. The twisted acrylic body of the mill creates an effect of movement and light. The peppercorns contained in the reservoir are clearly visible. Equipped with the Peugeot pepper grinding mechanism, with its lifetime guarantee, the Molène pepper mill provides perfect, incomparable grinding. The knob is used to adjust the size of grind of the pepper: the tighter the knob, the finer the pepper.",White,14cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-molene-pepper-mill-14cm
"Peugeot Ouessant Pepper Mill, 14cmPeugeot Ouessant Pepper Mill, 14cm",100493,https://peugeotmillsaustralia.com.au/cdn/shop/files/100493_a-peugeot.png?v=1751432662&width=416,"The Peugeot Ouessant pepper mill is a jewel of perfection and balance. Its thoughtful design combines the transparency of acrylic with the pure radiance of stainless steel. Its transparent body highlights the purity and sensuality of the pepper that it contains. This manual pepper mill is a pleasure to use every day. Its stainless steel knob provides a grind control function. The tighter the knob, the finer the grind. As with all Peugeot mills, the mechanism comes with a lifetime guarantee.",Transparent,14cm,Acrylic & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-ouessant-pepper-mill-14cm
"Peugeot Oléron Pepper Mill, 14cmPeugeot Oléron Pepper Mill, 14cm",100485,https://peugeotmillsaustralia.com.au/cdn/shop/files/100485_a-peugeot.png?v=1751432670&width=416,"The Peugeot Oléron pepper mill will stimulate all your senses. Its design combines the radiance of acrylic with the warmth of the finished wood. Its transparent body holds and enhances the pepper inside. The knob is used to adjust the size of grind of the pepper; the tighter the knob, the finer the grind. As with all Peugeot mills, the steel grinding mechanism comes with a lifetime guarantee. A mill whose design can harmoniously match all tables and kitchens.",Chocolate,14cm,Acrylic & Wood,https://peugeotmillsaustralia.com.au/products/peugeot-oleron-pepper-mill-14cm
"Peugeot Bali Pepper Mill, 8cmPeugeot Bali Pepper Mill, 8cm",100472,https://peugeotmillsaustralia.com.au/cdn/shop/files/100472_a-peugeot.png?v=1751432686&width=416,"The Peugeot Bali collection pepper mills explore a palette of colours that is not just trendy but also gourmet. Their small size (8 cm) offers perfect grip and effective use in all circumstances. On the table or in the kitchen, these pepper mills give inspiration for all your culinary creations. As with all Peugeot mills, the mechanism comes with a lifetime guarantee. The knob located on the head of the mill is used to adjust the size of grind: the tighter the knob, the finer the pepper. The stylish and elegant black version will go perfectly with the pastel colours of the salt mills of this collection. Find the complementary colour to create the partnership that is most like you",Black,8cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-bali-pepper-mill-8cm
"Peugeot Baya Pepper Mill, 8cmPeugeot Baya Pepper Mill, 8cm",100470,https://peugeotmillsaustralia.com.au/cdn/shop/files/100470_a-peugeot.png?v=1751432689&width=416,"The Peugeot Baya pepper mill is sure to please all lovers of simplicity and natural beauty. The pure, slightly flared lines make it a model of great finesse. This pepper mill in chocolate-coloured beechwood (certified 100% PEFC) offers sensuality to the eye and to the touch. The metal adjustment knob brings an additional touch of refinement to this precious gem. The knob allows you to control the size of pepper grind. Extremely compact, this manual mill provides perfect grip and stability. As with all Peugeot pepper mills, the exclusive steel grinding mechanism comes with a lifetime guarantee.",Chocolate,8cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-baya-pepper-mill-8cm
"Peugeot Madras Pepper Mill, 21cmPeugeot Madras Pepper Mill, 21cm",100452,https://peugeotmillsaustralia.com.au/cdn/shop/files/100452_a-peugeot.png?v=1751432702&width=416,"Awaken your senses with this manual pepper mill from the Paris u'Select collection. Classic lines, the Peugeot pepper mill is essential for chefs and lovers of flavour. The Madras mill features a very recent innovation: removal of the central vertical shaft. Invisible from the outside yet essential for use, this system makes it much easier and quicker to refill the mill; Simply remove the magnetic cover on the top of the mill. Peugeot’s patented U-Select system makes the mill fully adjustable from fine to coarse or anywhere in between. And to top it all, the Madras mill  is equipped with the Peugeot pepper grinding mechanism, which comes with a lifetime guarantee. Made in France Wood sourced from French PEFC™-certified forests u'Select grind adjustment system with six predefined grind settings Water-based paint and varnish Mechanism with a lifetime warranty For grinding black, white, green and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds",Chocolate,21cm,Wood & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-madras-pepper-mill-21-cm
"Peugeot Madras Pepper Mill, 16cmPeugeot Madras Pepper Mill, 16cm",100450,https://peugeotmillsaustralia.com.au/cdn/shop/files/100450_a-peugeot.png?v=1751432718&width=416,"Awaken your senses with this manual pepper mill from the Paris u'Select collection. Classic lines, the Peugeot pepper mill is essential for chefs and lovers of flavour. The Madras mill features a very recent innovation: removal of the central vertical shaft. Invisible from the outside yet essential for use, this system makes it much easier and quicker to refill the mill; Simply remove the magnetic cover on the top of the mill. Peugeot’s patented U-Select system makes the mill fully adjustable from fine to coarse or anywhere in between. And to top it all, the Madras mill  is equipped with the Peugeot pepper grinding mechanism, which comes with a lifetime guarantee. Made in France Wood sourced from French PEFC™-certified forests u'Select grind adjustment system with six predefined grind settings Water-based paint and varnish Mechanism with a lifetime warranty For grinding black, white, green and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds",Chocolate,16cm,Wood & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-madras-pepper-mill-16-cm
"Peugeot Daman u'Select Pepper Mill, 21cmPeugeot Daman u'Select Pepper Mill, 21cm",100447,https://peugeotmillsaustralia.com.au/cdn/shop/files/100447_a-peugeot.png?v=1751432725&width=416,"The Peugeot Daman Pepper Mill is a perfect combination of style and performance. This 21 cm manual acrylic & stainless steel pepper mill is fitted with a reservoir with a magnetic cover to make filling easier and features the u'Select grinding mechanism. Lifetime mechanism warranty u'Select Grinding Mechanism Designed in France Only use black, white or green peppercorns up to 6mm in size. Do not use salt in pepper mill.",Transparent,21cm,Acrylic & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-daman-uselect-pepper-mill-21-cm
"Peugeot Daman u'Select Pepper Mill, 16cmPeugeot Daman u'Select Pepper Mill, 16cm",100445,https://peugeotmillsaustralia.com.au/cdn/shop/files/100445_a-peugeot.png?v=1751432731&width=416,"The Peugeot DamanPepper Mill is a perfect combination of style and performance. This 16 cm manual acrylic & stainless steel pepper mill is fitted with a reservoir with a magnetic cover to make filling easier and features the u'Select grinding mechanism. Lifetime mechanism warranty u'Select Grinding Mechanism Designed in France Only use black, white or green peppercorns up to 6mm in size. Do not use salt in pepper mill.",Transparent,16cm,Acrylic & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-daman-uselect-pepper-mill-16-cm
"Peugeot Line Pepper Mill, 22cmPeugeot Line Pepper Mill, 22cm",100435,https://peugeotmillsaustralia.com.au/cdn/shop/files/100435_a-peugeot.png?v=1751432741&width=416,"This magnificent Line pepper mill features a head crafted from wood and a striated aluminum body. With its stylish combination of materials and superb graphical effect, it is a must-have for the table. This pepper mill is made in France and houses Peugeot's famous lifetime-guaranteed mechanism. The button on top of the mill is adorned with the Lion's mark and can be easily used to adjust the grind setting. perfect for use on the table Made in France Wood sourced from French PEFC™ -certified forests Mechanism with a lifetime warranty Five-year warranty for the mill For grinding black, white, green, and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds Grind adjustment button: the more the button is screwed, the finer the grind, and vice versa.",Graphite & Carbon,22cm,Aluminium,https://peugeotmillsaustralia.com.au/products/peugeot-line-pepper-mill-22-cm
"Peugeot Line Pepper Mill, 18cmPeugeot Line Pepper Mill, 18cm",100432,https://peugeotmillsaustralia.com.au/cdn/shop/files/100432_a-peugeot.png?v=1751432749&width=416,"This magnificent Line pepper mill features a head crafted from wood and a striated aluminum body. With its stylish combination of materials and superb graphical effect, it is a must-have for the table. This pepper mill is made in France and houses Peugeot's famous lifetime-guaranteed mechanism. The button on top of the mill is adorned with the Lion's mark and can be easily used to adjust the grind setting. perfect for use on the table Made in France Wood sourced from French PEFC™ -certified forests Mechanism with a lifetime warranty Five-year warranty for the mill For grinding black, white, green, and red pepper, pink peppercorns (no more than 15% in a pepper blend) and coriander seeds Grind adjustment button: the more the button is screwed, the finer the grind, and vice versa.",Natural Wood & Aluminium,18cm,Aluminium,https://peugeotmillsaustralia.com.au/products/peugeot-line-pepper-mill-18-cm
"Peugeot Fidji Pepper Mill, 20cmPeugeot Fidji Pepper Mill, 20cm",100423,https://peugeotmillsaustralia.com.au/cdn/shop/files/100423_a-peugeot.png?v=1751432766&width=416,"The contrast between the black wood body and the stainless steel head of the Fidji pepper mill gives a real balance to this piece. The grip of this mill is perfect thanks to its slender tapered silhouette in wood. As with all Peugeot mills, the steel grinding mechanism comes with a lifetime guarantee. The button on the mill allows you to choose your coarseness: loosening it will give coarser grinding. Beautiful and functional, the Fidji mill will be the perfect partner for your seasoning. Made in France Matte black finish on beech wood, stainless steel head Wood sourced from French PEFC™-certified forests Mechanism with a lifetime warranty For grinding peppercorns only, do not use for salt or other spices.",Olive Wood,20cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-fidji-pepper-mill-20-cm
"Peugeot Fidji Pepper Mill, 15cmPeugeot Fidji Pepper Mill, 15cm",100417,https://peugeotmillsaustralia.com.au/cdn/shop/files/100417_a-peugeot.png?v=1751432781&width=416,"The contrast between the black wood body and the stainless steel head of the Fidji pepper mill gives a real balance to this piece. The grip of this mill is perfect thanks to its slender tapered silhouette in wood. As with all Peugeot mills, the steel grinding mechanism comes with a lifetime guarantee. The button on the mill allows you to choose your coarseness: loosening it will give coarser grinding. Beautiful and functional, the Fidji mill will be the perfect partner for your seasoning. Made in France Matte black finish on beech wood, stainless steel head Wood sourced from French PEFC™-certified forests Mechanism with a lifetime warranty For grinding peppercorns only, do not use for salt or other spices.",Black,15cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-fidji-pepper-mill-15-cm
